,0
3497,SE 2000 Motor Leasing Pte Ltd
3098,Se7en Motor Trading
3981,Secret Garage Pte Ltd
1045,Secure Credit
2303,Select By Performance Premium Selection
2246,Senbel Automobile
2150,Seng Huat Motors Trading Pte Ltd
1111,Seng Hup Auto Pte Ltd
2311,Seng Lee Hong Vehicle Trading
2695,Sennau Automobile Pte Ltd
3122,SG Auto Pte Ltd
4080,SG AutoHub
3574,SG Autorec
2984,SG Car Choice Pte Ltd
3034,SG Car Consign Pte Ltd
2007,SG Car Shoppers Pte Ltd
2741,SG Carhub Pte Ltd
2668,SG Cash N Cars
3811,SG DreamCars Pte Ltd
3392,SG Motor Link Pte Ltd
3797,SG Urban Automotive
4021,SG Used Cars Pte Ltd
4091,SGA Auto
3949,SGCARS4U.com Pte Ltd
2023,SH Vehicle Traders Pte Ltd
3512,Sheng Heng (SH) Motors
4068,Sheng Hong Speed7 Pte Ltd
2677,Shin Automobile & Trading Pte Ltd
2678,Showroomcars Pte Ltd
1013,Shuang Hup Credit
2439,Silverstone Auto
3621,Sime Darby Services Pte Ltd
2165,Sin Eng Motor Trading
3338,Sincere Enterprise Pte Ltd
2792,Sincere Motoring Pte Ltd
529,Sing Investments & Finance Limited
2759,Sing Thai Hin Car
1162,Singapore Automobile.com
3839,Singapore Car Deals
506,Singapura Finance
2951,Singapura Motoring Pte Ltd
3923,Singh Motorsports Pte Ltd
2193,Sino Credit Pte Ltd
3773,SJ Auto Pte Ltd
508,SJL Services
2140,SK Auto
2569,SK Automobile Pte Ltd
4047,SK Garage Motorsports
2650,SKL Automobile Pte Ltd
3089,Skyline Auto Pte Ltd
3164,Skylink Auto Pte Ltd
3335,Skyway Motor Pte Ltd
3048,SmartCars Boutique Pte Ltd
3587,Smile Auto Pte Ltd
2050,Sng Auto Pte Ltd
4004,Snyder Holdings Pte Ltd
1321,Soon Kit Enterprise
3614,Southnine (Automobile) Pte Ltd
3304,Sovereign Crown Pte Ltd
4061,Spark Motoring Pte Ltd
3802,Speciale Motors Pte Ltd
3547,Speed7
3771,Speedbury Pte Ltd
530,Speedo Capital Pte Ltd
2349,Speedo Motoring
3100,Sphere Auto Pte Ltd
2030,Sportsway Auto Trading
3727,Squad Auto Pte Ltd
3723,SSCC Motoring Pte Ltd
3596,SSL Automobile Pte Ltd
2025,ST Auto Pte Ltd
2429,ST Carz Pte Ltd 
3966,ST Motors
3766,ST Powered Motoring
3254,Stallion Motors
501,Standard Chartered Bank (Singapore) Limited
3379,Star A Motor
2405,Star Deals Gallery
3954,Star Performance Auto
2341,StarBright Auto Pte Ltd
2397,Starise Automobile
2834,Stars Auto Credit & Leasing
1030,Starselect Auto
3117,Starzline Auto Pte Ltd
3987,Statesman Auto LLP
4008,Sterling Motors Corporation Pte Ltd
1050,Steven Mobile
3261,STG Motoring
3336,STI Auto Trading
2049,Straits Euro Motors Pte Ltd
1376,Sun Master Trading Co.
1206,Sunbright Motors
2577,Sunrich Motoring
2403,Super Auto
2295,Superb Cars
3350,Supreme Cars Pte Ltd
3656,Supreme Cars Ventures Pte Ltd
4063,Supreme Perf Cars Pte Ltd
1339,Swee Seng Motors
1129,Swee Watt Motor Trading
2300,Swift Garage Pte Ltd
3745,SY Cars JDM Pte Ltd
3921,SYC Leasing
3347,Syllys Auto Pte Ltd
2525,T & W Motoring
3841,T Dynasty Pte Ltd
2276,T2 Motoring
3036,T5 Auto Pte Ltd
3037,T8 Gallery Pte Ltd
3875,TAG Auto
1152,Tai Huat Automobile
539,Tai Huat Credit Pte Ltd
2676,Takashima Auto Enterprise
1320,Tan Motor Car Enterprise
1010,Tan Wei Auto Pte Ltd
3529,Tan Wei Credit Pte Ltd
1385,Tatco Enterprise
1091,Tay Motor & Credit Pte Ltd
4040,TBTG Services
3498,TCS Motor Trading Pte Ltd
4037,Teamwork Garage Pte Ltd
520,Teck Wei Credit Pte Ltd
3537,Tee Auto SG Pte Ltd
3934,The Car Concept Pte Ltd
2104,The Car Connextion
3070,The Car Dealer Pte Ltd
2547,The Car Enthusiast Pte Ltd
2454,The Car Regency Pte Ltd
3842,The Car Science Automobile
3446,The Car Shop
4025,The Car Specialist Pte Ltd
3805,The Cartale
3051,The Driven Dealership Pte Ltd
4033,The Leasing Company Pte Ltd
3829,The Lux Motors Pte Ltd
2993,The Wheelers Auto Pte Ltd
3180,Thehera Automobile Pte Ltd
1203,Thiam Heng Motor
1060,Think One Automobile & Trading
528,Think One Credit Pte Ltd
1009,Thong Lee Trading Pte Ltd
3315,Threesixty Resources Pte Ltd
3931,Thres Auto Pte Ltd
3774,Thrift Motors Pte Ltd
1360,Thrive Auto
3322,Thrive Technic Pte Ltd
3929,Tick Torque Pte Ltd
1232,Tim Bock Enterprise
3709,Titans Motoring
3602,TN Auto Trading Pte Ltd
502,Tokyo Century Leasing (S)
2041,Tong Motoring
3943,Top Autos Pte Ltd
2855,Top Carz
2280,Top Gear Auto
1255,Toy Machine
2389,Tradeit.Com Pte Ltd
1187,Trans Express
2345,Trans Motor
2006,Transco Enterprises
3187,Tridente Automobili Pte Ltd
3590,Trillions Auto
3074,Trillium Automobile Pte Ltd
4077,Trinity Cars Pte Ltd
2703,Triple Ace Auto
2828,Triple Six Automobile Pte Ltd
4044,Trofeo Automobile
2493,Trust Motor Trading
2296,Trust Motoring
3772,TSL Motoring Pte Ltd
2052,TTS Eurocars
3799,Turbocharge Pte Ltd
1377,Twin Wheels Auto Trading Enterprise
1318,TWJ Autocarz
4066,U883Detailing Pte Ltd
2192,Unicars Automobile
2114,Uniquecars Trading
3565,United Auto Pte Ltd
2793,United Auto Trading Pte Ltd
3142,United Motoring Pte Ltd
509,United Overseas Bank Limited
2655,Universal Auto Pte Ltd
2523,Urban Motors Pte Ltd
4026,Urban Reveno Pte Ltd
1245,V-Kar Traders Pte Ltd
3143,V-TEC Asia Automotive Pte Ltd
3662,V.I.P. Auto Nation Pte Ltd
2887,VAG Automobiles Pte Ltd
1224,Valley Trading
2097,ValueCars Auto Traders
3976,Vanger Motors Pte Ltd
3616,Vanguard Global Pte Ltd
3807,Vans N Trucks Pte Ltd
3803,Vantage Auto Pte Ltd
3317,Vantage Pre-Owned
2004,Vegas Auto Trading
4028,Vehicle Trading
2091,Venture Cars Pte Ltd
3280,Venus Auto Pte Ltd
2213,Vertex Automobile Pte Ltd
3755,Via Global Pte Ltd
2440,Victory Cars Trading Pte Ltd
1335,Videan Trading
3004,Viking Motor Pte Ltd
1368,Vin's Auto
2010,VINCAR Pte Ltd
1155,Vincent Auto Trading
2763,Viscar Motors
3179,Vision Autotrader Pte Ltd
3334,Visior Motoring Pte Ltd
2692,Vital Motor Pte Ltd
3219,VMG Auto Pte Ltd
3769,Voila Motors Pte Ltd
3920,VS Auto Pte Ltd
3967,VT Auto Pte Ltd
2707,Wagon Mate Pte Ltd
1112,Wah Soon Heng Vehicle Trading
3629,Walo Auto Pte Ltd
3011,Wang Motor Pte Ltd
3952,Wang Soon Lee Auto Gallery Pte Ltd
3837,Warehouse Exotics Pte Ltd
3185,Watercolours Automobile
1044,WD Cars
2038,Wearnes Pre-Owned
3407,Weicheng Auto
3088,Weili Auto LLP
3994,Westpoint Automotive Pte Ltd
2721,Wheeler Dealers SG Pte Ltd
2253,WheelPower Automobile Pte Ltd
3794,Wheels & Cars Pte Ltd
2965,Wheels and Watches Pte Ltd
3217,Wheels Exchange
2904,Wheels Singapore Pte Ltd
2714,Wheelsjunction
2191,William Lee Car Aircon Engineering
1421,William's Auto
3911,Wink Cars
3992,Wisemark Pte Ltd
3956,Wizard Carz
3091,WM Car Pte Ltd
3387,World of Cars Motor Trading
3613,WS Car Pte Ltd
3717,WTM Automobile
3008,Wunder Auto Pte Ltd
4096,Wynherm Engineering & Trading
3285,XL Motor Trading Pte Ltd
2298,Yah Motor
3812,Yes Hub Pte Ltd
2315,Yes Motoring
3240,Yin Auto
3845,YM Auto
544,Yong Khiong Credit
3009,Yong Khiong Credit Pte Ltd
1015,Yong Lee Seng Motor
3487,Yong Si
2171,YS Auto Pte Ltd
2392,Zee Car
1238,Zenith Automobile
4035,ZH Cars Pte Ltd
2290,Zion Auto Gallery
